epoch,loss,val_loss
0,0.00353585727749372,0.06934708916442017
1,0.0028122740628450647,0.12553834267812827
2,0.018068096459022787,0.07058988287547621
3,0.028715912644363847,0.2366542160438681
4,0.06378309917905159,0.29868210705666287
5,0.020527114510763594,0.23669739013302674
6,0.06939230087199397,0.2986823286752678
7,0.046866691931898595,0.2986823275721478
8,0.04785771752765688,0.2986820654816998
9,0.020597307528984563,0.23669849723143485
10,0.13034825666710445,0.2366954805058183
0,0.003752331297175506,0.058164322840330164
1,0.01713685782967977,0.10698578505973486
2,0.04825627966438184,0.29864322502636215
3,0.04655523415031352,0.298681511317642
4,0.021348102118516808,0.2366983865577619
5,0.083813026609697,0.23669849636340604
6,0.12707966845557636,0.2986823794187851
7,0.0392819932203835,0.23669849723143485
8,0.047820852002717074,0.2986823794187851
9,0.043756040911333435,0.2986823794187851
